seed,size,dimension,clusters,rep,hdbscan_time,dbscan_time,adjusted_rand,hdbscan_min_samples,hdbscan_min_cluster_size,dbscan_epsilon,dbscan_min_samples,dbscan_num_cluster,hdbscan_num_clusters,cluster_rand,new_hdbscan_time,new_dbscan_time
743.0,4000,10,50,8.0,0.205045501003,0.155743011972,1.0,5,5,5.0636573087,8.0,49,49,1.0,0.21492410800419748,0.11800019699148834
295.0,4000,50,10,3.0,0.205061449902,0.678258192958,1.0,5,5,10.1062727385,7.0,9,9,1.0,0.24642457300797105,0.5976404530229047
368.0,1000,50,50,4.0,0.208430455998,0.129950622097,1.0,5,5,10.8295861374,2.0,49,49,1.0,0.21549952297937125,0.09552089706994593
458.0,1000,50,50,5.0,0.209454440977,0.139051431092,1.0,5,5,11.7376887783,10.0,49,49,1.0,0.21400765900034457,0.10228145809378475
383.0,4000,10,50,4.0,0.211070366902,0.164875889197,1.0,5,5,4.9892009017,1.0,49,49,1.0,0.23233621998224407,0.12828333594370633
203.0,4000,10,50,2.0,0.21327949292,0.17166477791,1.0,5,5,5.42576687311,1.0,49,49,1.0,0.23112126206979156,0.1360362470149994
835.0,4000,50,10,9.0,0.215363494819,0.700668532867,1.0,5,5,9.65190196213,1.0,9,9,1.0,0.2572879580548033,0.5463242930127308
741.0,4000,10,2,8.0,0.2195864229,0.589491465129,1.0,5,5,3.70156557424,9.0,1,1,1.0,0.2697970800800249,0.5111173760378733
25.0,4000,50,10,0.0,0.22255933308,0.712123750011,1.0,5,5,9.42173466955,8.0,9,9,1.0,0.2643564229365438,0.5692581450566649
205.0,4000,50,10,2.0,0.225732465973,0.69275756483,1.0,5,5,9.59634253212,1.0,9,9,1.0,0.2995789349079132,0.6979982419870794
475.0,4000,50,10,5.0,0.23058980098,0.736317410134,1.0,5,5,10.056752744,1.0,9,9,1.0,0.2943246529903263,0.6400350759504363
121.0,8000,10,10,1.0,0.23858893197,0.653669486986,1.0,5,5,4.46271804283,10.0,9,9,1.0,0.30937003798317164,0.6278302920982242
211.0,8000,10,10,2.0,0.241756886011,0.656207401073,1.0,5,5,4.50357944588,1.0,9,9,1.0,0.28895142197143286,0.5950556449824944
391.0,8000,10,10,4.0,0.243002836127,0.684857608052,1.0,5,5,4.5851683197,1.0,9,9,1.0,0.3258539140224457,0.6233633779920638
661.0,8000,10,10,7.0,0.248373860028,0.672368738102,1.0,5,5,4.01036518431,6.0,9,9,1.0,0.3159498500172049,0.5806570609565824
571.0,8000,10,10,6.0,0.251623118995,0.74449877697,1.0,5,5,4.90890690508,1.0,9,9,1.0,0.3132895879680291,0.6784524760441855
751.0,8000,10,10,8.0,0.254635900026,0.657658328069,1.0,5,5,3.88055855986,6.0,9,9,1.0,0.3077297309646383,0.5454987569246441
481.0,8000,10,10,5.0,0.256590167992,0.720339034917,1.0,5,5,4.59396089422,10.0,9,9,1.0,0.30471140902955085,0.6170665109530091
115.0,4000,50,10,1.0,0.257143547991,0.778410359984,1.0,5,5,9.89409931851,10.0,9,9,1.0,0.2924283560132608,0.6268580199684948
745.0,4000,50,10,8.0,0.25904802396,0.776940906188,1.0,5,5,10.0853232844,10.0,9,9,1.0,0.2885914769722149,0.6070861719781533
841.0,8000,10,10,9.0,0.261184224859,0.716751361964,1.0,5,5,4.30779347118,1.0,9,9,1.0,0.31001156207639724,0.6169871509773657
301.0,8000,10,10,3.0,0.266780067934,0.735201802803,1.0,5,5,4.55769799137,9.0,9,9,1.0,0.3120366990333423,0.6371069580782205
381.0,4000,10,2,4.0,0.268356307875,0.620460337959,1.0,5,5,3.97020310308,1.0,1,1,1.0,0.3091357270022854,0.5781922520836815
565.0,4000,50,10,6.0,0.269186666934,0.79590914608,1.0,5,5,9.87987803975,10.0,9,9,1.0,0.3342399069806561,0.6523594140307978
291.0,4000,10,2,3.0,0.270555691095,0.662618984003,1.0,5,5,4.30551479771,10.0,1,1,1.0,0.3183349509490654,0.6294535408960655
385.0,4000,50,10,4.0,0.280948784901,0.865113821113,1.0,5,5,9.64938565046,8.0,9,9,1.0,0.3398364399326965,0.851105539011769
31.0,8000,10,10,0.0,0.285345070995,0.770804411033,1.0,5,5,4.30491743883,10.0,9,9,1.0,0.3786314590834081,0.659253658959642
752.0,8000,10,50,8.0,0.295090793166,0.388466801029,1.0,5,5,4.65557281236,9.0,49,49,1.0,0.3574278730666265,0.3692329269833863
842.0,8000,10,50,9.0,0.298570971936,0.41386218206,1.0,5,5,4.71035192344,3.0,49,49,1.0,0.42613428295589983,0.31849960691761225
561.0,4000,10,2,6.0,0.306295424933,0.620079062181,1.0,5,5,3.99379747653,1.0,1,1,1.0,0.360859765089117,0.555213766056113
111.0,4000,10,2,1.0,0.312411649851,0.620004449971,1.0,5,5,3.99283616473,10.0,1,1,1.0,0.355026168981567,0.5869741819333285
302.0,8000,10,50,3.0,0.314420802053,0.428259475157,1.0,5,5,4.81851331533,4.0,49,49,1.0,0.4137737159617245,0.3551328950561583
392.0,8000,10,50,4.0,0.315928315977,0.320242987946,0.987271702045,5,5,3.42704875233,1.0,146,48,0.987271702045,0.3702941229566932,0.2762161019491032
482.0,8000,10,50,5.0,0.316940593068,0.445185186109,1.0,5,5,5.32486457096,10.0,49,49,1.0,0.39647716900799423,0.3736884290119633
662.0,8000,10,50,7.0,0.318324110936,0.420971488813,1.0,5,5,5.37688816828,10.0,49,49,1.0,0.40089177794288844,0.3551474360283464
487.0,16000,2,10,5.0,0.319872228196,0.470182880061,0.99931319734,5,5,0.843848685176,10.0,4,4,0.999256027279,0.42917170003056526,0.5293186589842662
651.0,4000,10,2,7.0,0.320217611035,0.580664183944,1.0,5,5,3.66093886807,6.0,1,1,1.0,0.39664632291533053,0.5292763910256326
757.0,16000,2,10,8.0,0.324089552974,0.219474228099,0.985311706731,5,5,0.379503044483,3.0,13,3,0.985587545515,0.39266246499028057,0.22230473696254194
577.0,16000,2,10,6.0,0.324649848044,0.365135258064,0.996256890008,5,5,0.564610901492,6.0,6,6,0.99621072261,0.3747620669892058,0.34056036605034024
847.0,16000,2,10,9.0,0.325524745975,0.178501608083,0.848835157075,5,5,0.275689273257,1.0,281,128,0.805481886145,0.4047219189815223,0.2149967389414087
307.0,16000,2,10,3.0,0.326643909095,0.484312651213,0.997410232243,5,5,0.797765023648,10.0,3,2,0.997334970423,0.38149249099660665,0.4839242020389065
397.0,16000,2,10,4.0,0.326695760014,0.194901666837,0.87650138772,5,5,0.318252585225,10.0,8,120,0.860662341326,0.38501625997014344,0.19617236603517085
37.0,16000,2,10,0.0,0.32692463696,0.188064501854,0.98216105615,5,5,0.298436790296,8.0,7,6,0.983985456006,0.38923329301178455,0.21942752599716187
572.0,8000,10,50,6.0,0.328815273009,0.442440138198,1.0,5,5,5.07413837112,10.0,49,49,1.0,0.3874207619810477,0.3506381689803675
376.0,2000,50,10,4.0,0.329660850111,0.198176027043,1.0,5,5,9.97942296575,8.0,9,9,1.0,0.3226485289633274,0.15474978904239833
201.0,4000,10,2,2.0,0.331095166039,0.622799256118,1.0,5,5,4.02618694773,1.0,1,1,1.0,0.3572508239885792,0.5528516159392893
32.0,8000,10,50,0.0,0.335036104079,0.468783834949,1.0,5,5,4.90859504573,1.0,49,49,1.0,0.4051455110311508,0.3825824880041182
217.0,16000,2,10,2.0,0.335731554078,0.221704033902,0.958780574802,5,5,0.332518757268,10.0,5,8,0.959902973964,0.411777351051569,0.22631953097879887
127.0,16000,2,10,1.0,0.338162808912,0.503915827023,0.998606225377,5,5,0.784697644039,10.0,4,4,0.998468834682,0.4009408379206434,0.5139365250943229
308.0,16000,2,50,3.0,0.340137122897,0.18958388688,0.976836571583,5,5,0.437270503406,5.0,4,3,0.976803828398,0.3996482079382986,0.1862084809690714
21.0,4000,10,2,0.0,0.340411633952,0.611447146162,1.0,5,5,3.92496225714,6.0,1,1,1.0,0.36727044789586216,0.5343654468888417
122.0,8000,10,50,1.0,0.345624297159,0.403766905889,0.999872449303,5,5,4.22775867821,1.0,50,49,0.999872449303,0.414465370005928,0.3237405619584024
667.0,16000,2,10,7.0,0.347084727138,1.059450506,1.0,5,5,1.27934647243,5.0,2,2,1.0,0.4056152650155127,1.0382864329731092
212.0,8000,10,50,2.0,0.350542361848,0.483536949148,1.0,5,5,5.06704506044,10.0,49,49,1.0,0.4134273190284148,0.36260469700209796
488.0,16000,2,50,5.0,0.35103916307,0.166883802041,0.810928345027,5,5,0.38163214763,6.0,6,2,0.814347028293,0.40726097498554736,0.16552275500725955
128.0,16000,2,50,1.0,0.352952042129,0.107431072975,0.377261812553,5,5,0.117772762122,5.0,598,589,0.207364577705,0.40131726500112563,0.09409395500551909
486.0,16000,2,2,5.0,0.354645832907,3.96682635299,1.0,5,5,1.47886574769,3.0,1,1,1.0,0.41227867000270635,3.808171743992716
668.0,16000,2,50,7.0,0.354903416941,0.11116543808,0.300507911312,5,5,0.12230740683,5.0,628,480,0.0479997678368,0.43704265204723924,0.09500240697525442
216.0,16000,2,2,2.0,0.355254909024,5.55759428185,1.0,5,5,2.02902614096,1.0,1,1,1.0,0.4018840630305931,5.629145261947997
758.0,16000,2,50,8.0,0.356413831003,0.108684635023,0.284274260735,5,5,0.121330497547,5.0,598,489,0.0659550099365,0.39866746903862804,0.09200562397018075
848.0,16000,2,50,9.0,0.357396599138,0.105928490171,0.336658817812,5,5,0.122967699049,5.0,648,538,0.0699683781612,0.38862229499500245,0.09610859700478613
756.0,16000,2,2,8.0,0.357857623138,3.19452428701,1.0,5,5,1.27479069053,9.0,1,1,1.0,0.4479221539804712,3.223307622014545
